TITLE,YEAR,GENRE,USER RATING,IMDB-RATING,ACTOR1,ACTOR2,ACTOR3,DIRECTOR,WRITER,NOMINATIONS
A Cry in the Dark,1988,Drama,,6.9,Meryl Streep,Sam Neill,Dale Reeves,Fred Schepisi,John Bryson,ACTRESS
A Fish Called Wanda,1988,Comedy;Crime,,7.6,John Cleese,Jamie Lee Curtis,Kevin Kline,Charles Crichton,John Cleese,ACTOR IN A SUPPORTING ROLE;DIRECTING;WRITING (Screenplay Written Directly for the Screen)
A Hard Day's Night,1964,Comedy;Musical,,7.6,John Lennon,Paul McCartney,George Harrison,Richard Lester,Alun Owen,MUSIC (Scoring of Music--adaptation or treatment);WRITING (Story and Screenplay--written directly for the screen)
A Little Romance,1979,Comedy;Romance,,7.2,Laurence Olivier,Diane Lane,Thelonious Bernard,George Roy Hill,Claude Klotz,MUSIC (Original Score);WRITING (Screenplay Based on Material from Another Medium)
A Mighty Wind,2003,Comedy;Drama;Music,,7.1,Jim Moret,Michael McKean,Christopher Guest,Christopher Guest,Christopher Guest,MUSIC (Original Song)
A Place in the World,1992,Drama,,7.6,Jose Sacristan,Federico Luppi,Leonor Benedettp,Adolfo Aristarain,Adolfo Aristarain,FOREIGN LANGUAGE FILM
A Separation,2011,Drama,,8.5,Payman Maadi,Leila Hatami,Sareh Bayat,Asghar Farhadi,Asghar Farhadi,FOREIGN LANGUAGE FILM;WRITING (Original Screenplay)
A Space to Grow,1968,Documentary;Short,,,,,,,,DOCUMENTARY (Short Subject)
A Thousand and One Nights,1945,Adventure,,6,Evelyn Keyes,Phil Silvers,Adele Jergens,Alfred E. Green,Wilfred H. Petit,ART DIRECTION (Color);SPECIAL EFFECTS
A Way Out of the Wilderness,1968,Documentary;Short,,,,,,Dan E. Weisburd,,DOCUMENTARY (Short Subject)
Absence of Malice,1981,Drama;Thriller;Romance,,6.8,Paul Newman,Sally Field,Bob Balaban,Sydney Pollack,Kurt Luedtke,ACTOR;ACTRESS IN A SUPPORTING ROLE;WRITING (Screenplay Written Directly for the Screen)
Address Unknown,1944,Drama,,6.4,Paul Lukas,Carl Esmond,Mady Christians,Willem Cameron Menzies,Herbert Dalmas,ART DIRECTION (Black-and-White);MUSIC (Music Score of a Dramatic or Comedy Picture)
Afterglow,1997,Comedy;Drama;Romance,,6.1,Nick Nolte,Julie Christie,Lara Flynn Boyle,Alan Rudolph,Alan Rudolph,ACTRESS
Airport,1970,Drama;Thriller,,6.5,Burt Lancaster,Dean Martin,Jean Seberg,George Seaton,Arthur Hailey,ACTRESS IN A SUPPORTING ROLE;ACTRESS IN A SUPPORTING ROLE;ART DIRECTION;BEST PICTURE;CINEMATOGRAPHY;COSTUME DESIGN;FILM EDITING;MUSIC (Original Score);SOUND;WRITING (Screenplay--based on material from another medium)
Ali Baba Goes to Town,1937,Comedy;Fantasy;Musical,,7.1,Eddie Cantor,Tony Martin,Roland Young,David Butler,Harry Tugend,DANCE DIRECTION
Alive in the Deep,1941,Documentary;Short,,,,,,,,SHORT SUBJECT (Two-reel)
All Things Fair,1995,Drama;Romance;War,,6.9,Johan Widerberg,Marika Lager Crantz,Tomas von Bromssen,Bo Widerberg,Bo Widerberg,FOREIGN LANGUAGE FILM
Always in My Heart,1942,Drama;Musical,,6,Kay Francis,Walter Huston,Gloria Warren,Jo Graham,Dorothy Bennett,MUSIC (Song)
An Affair to Remember,1957,Drama;Romance,,7.4,Cary Grant,Deborah Kerr,Richard Denning,Leo McCarey,Delmer Daves,CINEMATOGRAPHY;COSTUME DESIGN;MUSIC (Scoring);MUSIC (Song)
An Occurrence at Owl Creek Bridge,1963,Short;Adventure;Drama,,8.2,Roger Jacquet,Anne Cornaly,Anker Larsen,Robert Enrico,Ambrose Bierce,SHORT SUBJECT (Live Action)
Angela's Ashes,1999,Drama,,7.1,Emily Watson,Robert Carlyle,Joe Breen,Alan Parker,Frank McCourt,MUSIC (Original Score)
Anna,1987,Drama,,6.2,Sally Kirkland,Robert Fields,Paulina Porizkova,Yurek Bogayevicz,Yurek Bogayevicz,ACTRESS
Antonia: A Portrait of the Woman,1974,Documentary,,7,Antonia Brico,,,Jill Godmilow,,DOCUMENTARY (Feature)
Arabian Nights,1942,Action;Adventure,,6.2,Jon Hall,Maria Montez,Sabu,John Rawlins,Michael Hogan,ART DIRECTION (Color);CINEMATOGRAPHY (Color);MUSIC (Music Score of a Dramatic or Comedy Picture);SOUND RECORDING
Arthur and Lillie,1975,Documentary;Short,,,Arthur Mayer,,,Jon Else,,DOCUMENTARY (Short Subject)
Auntie Mame,1958,Comedy;Drama,,7.7,Rosalind Russell,Forest Tucker,Coral Browne,Morton DaCosta,Betty Comden,ACTRESS IN A SUPPORTING ROLE;ACTRESS;ART DIRECTION;BEST MOTION PICTURE;CINEMATOGRAPHY (Color);FILM EDITING
Away from Her,2007,Drama,,7.6,Gordon Pinsent,Stacey LaBerge,Julie Christie,Sarah Polley,Sarah Polley,ACTRESS;WRITING (Adapted Screenplay)
Baby Doll,1956,Drama,,7.3,Karl Malden,Carroll Baker,Eli Wallach,Elia Kazan,Tennessee Williams,ACTRESS IN A SUPPORTING ROLE;ACTRESS;CINEMATOGRAPHY (Black-and-White);WRITING (Screenplay--Adapted)
Badgered,2005,Animation;Short;Comedy,,6.7,Robert Degas,,,Sharon Colman,Sharon Colman,SHORT FILM (Animated)
Beau Geste,1939,Action;Adventure;Drama,,7.8,Gary Cooper,Ray Milland,Robert Preston,William A. Wellman,Robert Carson,ACTOR IN A SUPPORTING ROLE;ART DIRECTION
Benji,1974,Adventure;Family;Romance,,5.8,Patsy Garrett,Allen Fiuzat,Peter Breck,Joe Camp,Joe Camp,MUSIC (Song)
Big Mama,2000,Short;Documentary,,5.7,Viola Dees,,,Tracy Seretean,,DOCUMENTARY (Short Subject)
Birdnesters of Thailand (aka 'Shadow Hunters'),1991,Documentary;Short,,2.4,,,,Alain Majani diInguimbert,,DOCUMENTARY (Short Subject)
Black and White in Color,1976,Comedy;Drama;War,,6.9,Jean Carmet,Jacques Dufilho,Catherine Rouvel,Jean-Jacques Annaud,Jean-Jacques Annaud,FOREIGN LANGUAGE FILM
Blackfly,1991,Animation;Family;Comedy,,6.9,Wade Hemsworth,,,Christopher Hinton,,SHORT FILM (Animated)
Blitz Wolf,1942,Animation;Comedy;Short,,7.2,Pinto Colvig,Frank Graham,Bill Thompson,Tex Avery,Rich Hogan,SHORT SUBJECT (Cartoon)
Blow-Up,1966,Drama;Mystery;Thriller,,7.6,Vanessa Redgrade,Sarah Miles,David Hemmings,Michelangelo Antonioni,Michelangelo Antonioini,DIRECTING;WRITING (Story and Screenplay--written directly for the screen)
Bob & Carol & Ted & Alice,1969,Comedy;Drama,,6.5,Natalie Wood,Elliott Gould,Dyan Cannon,Paul Mazursky,Paul Mazursky,ACTOR IN A SUPPORTING ROLE;ACTRESS IN A SUPPORTING ROLE;CINEMATOGRAPHY;WRITING (Story and Screenplay--based on material not previously published or produced)
Boogie Woogie Bugle Boy of Company B,1941,Animation;Short;Comedy,,6.1,,,,,Ben Hardaway,SHORT SUBJECT (Cartoon)
Bowling for Columbine,2002,Documentary;History,,8,Michael Moore,Salvador Allende,Charlton Heston,Michael Moore,Michael Moore,DOCUMENTARY (Feature)
Bravery in the Field,1979,Short;Drama,,8.5,John Call,Matt Craven,Valda Dalton,Giles Walker,Alexander Bremner,SHORT FILM (Live Action)
Breaking the Sound Barrier,1952,Drama;Romance;War,,6.9,Ralph Richardson,Ann Todd,Nigel Patrick,David Lean,Terrence Rattigan,SOUND RECORDING;WRITING (Story and Screenplay)
Bright Victory,1951,Drama,,7.2,Arthur Kennedy,Peggy Dow,Julie Adams,Mark Robson,Robert Bruckner,ACTOR;SOUND RECORDING
Brooms,1995,Short,,7.5,Andrew Bailey,Everett Bradley,Luke Creswell,Luke Creswell,Luke Creswell,SHORT FILM (Live Action)
Bull Durham,1988,Comedy;Romance;Sport,,7,Kevin Costner,Susan Sarandon,Tim Robbins,Ron Shelton,Ron Shelton,WRITING (Screenplay Written Directly for the Screen)
Bus Stop,1956,Comedy;Drama;Romance,,6.7,Marilyn Monroe,Don Murray,Arthur O'Connell,Joshua Logan,George Zxelrod,ACTOR IN A SUPPORTING ROLE
Cabaret,1972,Drama;Musical,,7.7,Liza Minnelli,Michael York,Helmut Griem,Bob Fosse,Joe Masteroff,ACTOR IN A SUPPORTING ROLE;ACTRESS;ART DIRECTION;BEST PICTURE;CINEMATOGRAPHY;DIRECTING;FILM EDITING;MUSIC (Scoring: Adaptation and Original Song Score);SOUND;WRITING (Screenplay--based on material from another medium)
Capote,2005,Biography;Crime;Drama,,7.4,Allie Mickelson,Phillip Seymour Hoffman,Catherine Keener,Bennet Miller,Dan Futterman,ACTOR;ACTRESS IN A SUPPORTING ROLE;BEST PICTURE;DIRECTING;WRITING (Adapted Screenplay)
Capturing the Friedmans,2003,Documentary;Biography,,7.9,Arnold Friedman,Elaine Freidman,David Freidman,Andrew Jarecki,,DOCUMENTARY (Feature)
Cat Ballou,1965,Comedy;Musical;Western,,6.8,Jane Fonda,Lee Marvin,Michael Callan,Elliot Silverstein,Walter Newman,ACTOR;FILM EDITING;MUSIC (Scoring of Music--adaptation or treatment);MUSIC (Song);WRITING (Screenplay--based on material from another medium)
Champions Carry On,1943,Short,,,,,,,,SHORT SUBJECT (One-reel)
Chariots of the Gods,1970,Documentary,,6,Heinz-Detlev Bock,Klaus Kindler,Christian Marschall,Harald Reinl,Harald Reinl,DOCUMENTARY (Feature)
Chicks in White Satin,1993,Documentary;Short,,5.6,,,,Elaine Holliman,,DOCUMENTARY (Short Subject)
Children of Paradise,1946,Drama;Romance,,8.2,Arletty,Jean-Louis Barrault,Pierre Brasseur,Marcel Carne,Jacques Prevert,WRITING (Original Screenplay)
Chopin's Musical Moments,1946,Animation;Short;Comedy,,7,,,,Dick Lundy,Ben Hardaway,SHORT SUBJECT (Cartoon)
Cinderella Liberty,1973,Drama;Romance,,6.7,James Caan,Marsha Mason,Kirk Calloway,Mark Rydell,Darryl Ponicsan,ACTRESS;MUSIC (Original Dramatic Score);MUSIC (Song)
Claudine,1974,Comedy;Drama;Romance,,6.9,Diahann Carroll,James Earl Jones,Lawrence Hilton-Jacobs,John Berry,Lester Pine,ACTRESS
Close Harmony,1981,Documentary;Short;Family,,,,,,Nigel Noble,,DOCUMENTARY (Short Subject)
Coming Home,1978,Drama;Romance;War,,7.3,Jane Fonda,Jon Voight,Bruce Dern,Hal Ashby,Waldo Salt,ACTOR;ACTOR IN A SUPPORTING ROLE;ACTRESS;ACTRESS IN A SUPPORTING ROLE;BEST PICTURE;DIRECTING;FILM EDITING;WRITING (Screenplay Written Directly for the Screen)
Conquest of Light,1975,Short,,,Dennis Brennan,,,Louis Marcus,,SHORT FILM (Live Action)
Country,1984,Drama,,6.6,Jessica Lange,Sam Shepard,Wilford Brimley,Richard Pearce,William D. Wittliff,ACTRESS
Crack USA: County under Siege,1989,Documentary,,7.5,Joe Mantegna,,,Vince DiPersio,Vince DiPersio,DOCUMENTARY (Feature)
